Rank,Release Group,Worldwide,Domestic,%,Foreign,%
191,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
192,Life for Real,"$6,119,404",-,-,"$6,119,404",100%
193,"And Yet, You Are So Sweet","$6,099,393",-,-,"$6,099,393",100%
194,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
195,Rafadan Tayfa Galaktik Tayfa,"$5,998,908",-,-,"$5,998,908",100%
196,The Childe,"$5,982,273","$102,021",1.7%,"$5,880,252",98.3%
197,Next Goal Wins,"$5,967,243","$5,967,243",100%,-,-
198,Bernadette,"$5,941,956",-,-,"$5,941,956",100%
199,Journey to Bethlehem,"$5,901,998","$5,849,882",99.1%,"$52,116",0.9%
200,The Unlikely Pilgrimage of Harold Fry,"$5,876,717",-,-,"$5,876,717",100%
