Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
90,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%,hi,"Based on a true tragedy, the emotionally triggering film sheds light on the plight of Kashmiri Pandits (Hindus), a religious minority in the 1990s Kashmir valley, who were compelled to flee their homes by the Islamic militants.",8.848,2022-03-11,7.1,50
91,Hero,"$24,392,492",-,-,"$24,392,492",100%,zh,"The background of ""Hero"" is set in 2020: a sudden disaster that disrupted everyone's lives. When society face unemployment when families fall apart, when lovers are separated, when death is approaching quietly, and when a peaceful life suddenly undergoes unexpected changes, how will women respond? What are the vital and irreplaceable roles that men play in women’s lives and growth? The three female directors Zhang Aijia, Li Shaohong and Chen Chong used their unique female perspectives to explore and show people's plights and struggles in family, career, and love in special times.",3.899,2022-09-09,3.0,1
92,Harry Potter and the Chamber of Secrets 2022 Re-release,"$24,006,144",-,-,"$24,006,144",100%,-,-,-,-,-,-
93,The Last 10 Years,"$23,699,624",-,-,"$23,699,624",100%,ja,Twenty-year-old Matsuri Takabayashi learns that she only has ten years to live due to an incurable disease. She decides to not dwell on her life and not to fall in love – until she meets a man named Kazuto Manabe at a school reunion.,25.141,2022-03-04,7.19,63
94,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%,ja,"Dako, Boku-chan and Richard commit their next con on Malta Island.",5.813,2022-01-14,6.917,12
95,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%,ko,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",62.611,2022-06-15,7.327,199
96,Decision to Leave,"$22,581,906","$2,179,864",9.7%,"$20,402,042",90.3%,ko,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",73.54,2022-06-29,7.401,950
97,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%,-,-,-,-,-,-
98,6/45,"$22,263,336",-,-,"$22,263,336",100%,ko,A comedy film about North and South Korean soldiers vying for a winning lotto ticket that crossed the demarcation line because of the strong wind.,10.5,2022-08-24,6.7,30
99,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%,ja,"One day during summer vacation, a palm-sized alien named Papi appears from a small rocket that Nobita picks up. He is the president of Pirika, a small planet in outer space, and has come to Earth to escape the rebels. Doraemon and his friends are puzzled by Papi’s small size, but as they play together using the secret tool “Small Light”, they gradually become friends. However, a whale-shaped space battleship comes to earth and attacks Doraemon, Nobita and the others in order to capture Papi. Feeling responsible for getting everyone involved, Papi tries to stand up to the rebels. Doraemon and his friends leave for the planet Pirika to protect their dear friend and his home.",17.082,2022-03-04,6.0,103
100,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%,en,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril.",23.267,2022-09-09,6.378,889
101,Ponniyin Selvan: Part I,"$21,888,295","$4,282,000",19.6%,"$17,606,295",80.4%,ta,"The Chola kingdom is under threat from forces both internal and external, and with crown prince Aaditha Karikalan, his younger brother Arunmozhi Varman and the emperor, Sundara Cholar separated by situations, it is up to a messenger to ensure the safety of the kingdom. Can he succeed in his mission, especially with Karikalan's former girlfriend, Nandhini, plotting to bring down the entire Chola empire?",10.774,2022-09-30,7.148,61
102,Devotion,"$21,768,133","$20,511,938",94.2%,"$1,256,195",5.8%,en,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,43.839,2022-11-23,7.207,583
103,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%,ja,"Physicist Manabu Yukawa returns to Japan from America. Detective Kaoru Utsumi visits him and talks about a case. The case is about a popular girl in a town who disappeared and, several years later, her body was found. A suspect was arrested for her murder. That suspect was previously arrested for another girl's murder, but he was released due to a lack of evidence. Detective Shunpei Kusanagi investigated the prior murder case. The same suspect was then released due to a lack of evidence for the most recent murder case. The released man returned to his town, where everybody hated him. On the day of the autumn festival parade, the man was killed.  Physicist Manabu Yukawa, Detective Kaoru Utsumi and Detective Shunpei Kusanagi work together on his case.",5.677,2022-09-16,6.462,13
104,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%,en,"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",27.394,2022-04-13,7.219,474
105,Emergency Declaration,"$21,400,327","$412,196",1.9%,"$20,988,131",98.1%,ko,"While investigating a terroristic threat that goes viral online, Korean authorities discover that a suspect has recently boarded an international flight bound for the United States. When a healthy passenger on the same flight suddenly dies a gruesome death of unknown cause, panic erupts both in-flight and on the ground. With steadily decreasing fuel and international refusals to offer aid, the captain and crew will be forced to take unprecedented emergency measures in an attempt to save the lives of their passengers.",30.11,2022-08-03,7.588,280
106,The Amazing Maurice,"$21,120,688","$4,303,645",20.4%,"$16,817,043",79.6%,en,"Maurice is a streetwise ginger cat who comes up with a money-making scam by befriending a group of self-taught talking rats. When Maurice and the rodents meet a bookworm called Malicia, their little con soon goes down the drain.",33.431,2022-12-16,6.961,116
107,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$20,617,005",-,-,"$20,617,005",100%,ja,"One day, a woman named Chiyome Hesogakure with a child named Chinzō visits the Nohara family and claims that she is the real mother of Shinnosuke and takes him away to a Ninja Village. In the Ninja Village, the Hesogakure family has been protecting ""the earth's navel"" by blocking it with a pure gold stopper using the ""Mononoke technique"" that has been passed down from generation. If it comes off, the earth will wither, the rotation will stop, and the ""tomorrow"" of the world will be lost! It is up to Shinnosuke to reveal the mystery of his birth and protect the future of the earth and the ""tomorrow"" of his family.",15.325,2022-04-22,7.2,11
108,Three Thousand Years of Longing,"$20,282,422","$8,286,741",40.9%,"$11,995,681",59.1%,en,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",44.04,2022-08-24,6.918,1025
109,Turning Red,"$20,122,621",-,-,"$20,122,621",100%,en,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",112.448,2022-03-10,7.423,4598
110,After Ever Happy,"$19,238,073","$1,072,750",5.6%,"$18,165,323",94.4%,en,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",111.245,2022-08-24,6.831,1057
111,School of Magical Animals: Part 2,"$19,211,620",-,-,"$19,211,620",100%,-,-,-,-,-,-
112,Simone: Woman of the Century,"$19,162,584",-,-,"$19,162,584",100%,fr,"Simone Veil's life story through the pivotal events of Twentieth Century. Her childhood, her political battles, her tragedies. An intimate and epic portrait of an extraordinary woman who eminently challenged and transformed her era defending a humanist message still keenly relevant today.",9.444,2021-11-22,8.107,281
113,Beast,"$18,911,959",-,-,"$18,911,959",100%,en,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",63.697,2022-08-11,6.704,1329
114,Broker,"$18,821,582","$1,046,899",5.6%,"$17,774,683",94.4%,ko,"Sang-hyeon is always struggling from debt, and Dong-soo works at a baby box facility. On a rainy night, they steal the baby Woo-sung, who was left in the baby box, to sell him at a good price. Meanwhile, detectives were watching, and they quietly track them down to capture the crucial evidence.",41.532,2022-06-08,7.204,343
115,Godfather,"$18,737,287",-,-,"$18,737,287",100%,-,-,-,-,-,-
116,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%,hi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",11.368,2022-05-20,6.202,57
117,November,"$18,197,176",-,-,"$18,197,176",100%,fr,"In November 2015, a series of unprecedented and deadly attacks hits Paris. The anti-terrorist police led by Heloise and her chief commander Fred - face an unprecedented level of pressure: in a race against the clock, they must find the perpetrators of the attacks as quickly as possible before they can strike again, travelling across Europe and beyond in one of the biggest manhunts in history.",16.001,2022-10-05,7.162,600
118,Fragments of the Last Will,"$17,954,691",-,-,"$17,954,691",100%,ja,"Based on a true story - a true love story of a man and his wife who are at the mercy of fate, but wish to be reunited for 11 years. With thoughts of his wife and his fellows, Yamamoto Hatao never gave up hoping that he'd return home despite hopeless circumstances.",5.319,2022-12-09,8.75,4
119,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%,ja,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",46.235,2022-05-20,8.361,337
120,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%,en,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",104.998,2022-08-11,7.241,3342
121,Even If This Love Disappears from the World Tonight,"$16,993,271",-,-,"$16,993,271",100%,ja,"Maori agrees to date smitten classmate Toru on the condition that they don't fall in love. After all, she can only hold on to memories for 24 hours.",5.486,2022-07-29,6.8,8
122,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%,de,"After two pregnancies, Sonja struggles with her body feeling and the relationship with her husband Milan. Frauke, shortly before her 60th birthday, shares this fate and feels almost invisible to her husband. Daughter Julie is working on her modeling career, but a flaw is discovered on her body again and again ...",10.625,2022-02-03,7.394,71
123,Father There Is Only One 3,"$16,401,315",-,-,"$16,401,315",100%,es,"Christmas is coming. The children accidentally break a Nativity scene figurine from their father's collection and must by all means get an equal one, the problem is that it is a unique antique piece. Sara, the eldest daughter breaks up with her boyfriend, Ocho, who will try to recover her favors with the help of her father-in-law, Javier. Precisely Javier's father-in-law, Marisa's father, will be welcomed into the family home to spend the holidays after her recent separation, which will not leave Javier's mother, Milagros, indifferent. Rocío, the folklore of the family, who has been playing the Virgin for several Christmases, is relegated this year to playing the shepherdess, something that her father, Javier, is not willing to assume.",25.228,2022-07-15,7.472,213
124,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%,ja,"In this drama set on Shikina Island, a far-flung island of the Japanese archipelago located more than six hours from the Japanese main islands, the young physician Kensuke Goto arrives at the island and has to deal with the island's inhabitants, not eager to accept him, at a clinic lacking sufficient medical equipment. Here's a human drama showing how Dr. Coto values the dignity of human life while unflinchingly facing disease with a serious attitude.",3.215,2022-12-16,7.0,1
125,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%,te,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",9.449,2022-03-10,5.175,20
126,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%,en,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,42.423,2022-02-10,6.215,972
127,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%,en,"In 1943, two British intelligence officers concoct Operation Mincemeat, wherein their plan to drop a corpse with false papers off the coast of Spain would fool Nazi spies into believing the Allied forces were planning to attack by way of Greece rather than Sicily.",30.261,2022-04-01,6.536,563
128,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%,-,-,-,-,-,-
129,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$15,569,229",-,-,"$15,569,229",100%,ja,"With the great success of ""Maji LOVE LIVE Kingdom"", the members of ST☆RISH have been busy with their idol activities. However, while their success has brought a sense of fulfillment, they began to have feelings they never felt before. ""What do we do from now on..."" At that time, a call comes in from the Shining Office summoning everyone to receive a ""reward.” What is it...? This is the behind-the-scenes story of ST☆RISH, connecting ""Maji LOVE Kingdom"" to the ""Maji LOVE ST☆RISH Tours"".",2.971,2022-09-02,3.0,1
130,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%,te,A sub-inspector and the egoistic son of an ex-MP get in an egotistical war when the former arrests the latter for bringing in liquor from Telangana to AP.,5.674,2022-02-25,5.2,11
131,Bones and All,"$15,134,907","$7,834,907",51.8%,"$7,300,000",48.2%,it,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",40.614,2022-11-18,7.129,1066
132,Terrifier 2,"$15,065,239","$10,640,105",70.6%,"$4,425,134",29.4%,en,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",81.966,2022-10-06,6.799,1497
133,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%,en,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",30.861,2022-05-12,5.648,593
134,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%,-,-,-,-,-,-
135,Bros,"$14,781,867","$11,628,165",78.7%,"$3,153,702",21.3%,en,Two emotionally unavailable men attempt a relationship.,20.218,2022-09-30,6.897,414
136,Superwho?,"$14,770,359",-,-,"$14,770,359",100%,fr,"A struggling actor seems doomed to live life as a loser. When he finally snatches a lead role as a superhero named “Badman,” he feels like everything is possible, but fate strikes again.",16.766,2022-02-02,6.4,439
137,X,"$14,740,889","$11,765,309",79.8%,"$2,975,580",20.2%,en,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",117.377,2022-03-17,6.75,2413
138,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%,-,-,-,-,-,-
139,The Duke,"$14,227,217","$1,526,970",10.7%,"$12,700,247",89.3%,-,-,-,-,-,-
140,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%,te,"Mahesh, a money lender, is swindled by a gambling addict called Kalaavathi in the US. While he comes to India to collect his debt, he decides to stay back and do his bit for the country's financial health.",11.074,2022-05-11,5.444,18
141,She Said,"$13,935,435","$5,825,995",41.8%,"$8,109,440",58.2%,en,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation — a story that helped launch the #MeToo movement and shattered decades of silence around the subject of sexual assault in Hollywood.,22.277,2022-11-17,7.285,430
142,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%,en,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",31.761,2022-08-05,6.36,790
143,Monster,"$13,910,991",-,-,"$13,910,991",100%,ml,"On their first wedding anniversary, Lucky Singh, an entrepreneur from Punjab walks into the lives of Anil Chandra and Bhamini. Little do they know that this man will change their future. Playing along with LGBT support.",4.997,2022-10-21,4.0,6
144,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%,en,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",55.834,2022-04-28,6.88,1322
145,The Legend of Maula Jatt,"$13,842,815","$5,016,493",36.2%,"$8,826,322",63.8%,pa,"Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",12.91,2022-10-13,8.3,10
146,Glass Onion,"$13,280,000","$13,280,000",100%,-,-,-,-,-,-,-,-
147,Valimai,"$13,276,393",-,-,"$13,276,393",100%,ta,"A honest cop tries to track down the brain behind a series of robberies and murders, but things turn personal when his family become pawns in the criminal's game.",7.248,2022-02-24,5.6,22
148,Moonage Daydream,"$13,095,781","$4,218,925",32.2%,"$8,876,856",67.8%,en,A cinematic odyssey featuring never-before-seen footage exploring David Bowie's creative and musical journey.,22.488,2022-09-15,7.647,160
149,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%,en,"A man returns home for an Easter celebration with his riotous, bickering, eating, drinking, laughing, loving family, in this love letter to the Filipino-American community.",12.084,2022-08-04,6.157,35
150,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%,de,Bavaria's most relaxed village policeman has to face an organized crime syndicate coming after his grandmother's cakes.,6.588,2022-08-04,6.6,36
151,Living,"$12,208,598","$3,038,113",24.9%,"$9,170,485",75.1%,en,"London, 1953. Mr. Williams, a veteran civil servant, is an important cog within the city's bureaucracy as it struggles to rebuild in the aftermath of World War II. Buried under paperwork at the office and lonely at home, his life has long felt empty and meaningless. Then a devastating medical diagnosis forces him to take stock, and to try and grasp some fulfilment before it passes permanently beyond reach.",19.422,2022-11-04,7.044,293
152,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%,hi,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",9.176,2022-08-11,6.4,52
153,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%,ko,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",49.237,2022-07-20,7.1,178
154,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%,"$10,043,247",86.3%,ja,"A long-running conspiracy is swirling over a mysterious power wielded by the Queen in Raja, a small country west of Tempest. When a slime who evolved into a Demon Lord named Rimuru Tempest crosses paths with Hiiro, a survivor of the Ogre race, an incredible adventure packed with new characters begins. The power of bonds will be put to the test!",69.959,2022-11-25,7.296,333
155,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%,hi,"A marriage. A re-marriage. A pending divorce. It's been five years since Kukoo and Nainaa got married after knowing each other practically all their lives, and now they need to break it to their family that they want a divorce. Kukoo's parents, Bheem and Geeta, a couple that everyone looks up to, have no plans of making Kukoo and Naina's lives easier. They have their own plans and set of surprises in store for the young couple; all this in the middle of Kukoo's sister's wedding.",7.704,2022-06-24,5.712,26
156,Empire of Light,"$11,395,604","$1,177,577",10.3%,"$10,218,027",89.7%,en,"The duty manager of a seaside cinema, who is struggling with her mental health, forms a relationship with a new employee on the south coast of England in the 1980s.",26.185,2022-12-09,6.651,416
157,Till,"$11,350,344","$9,000,202",79.3%,"$2,350,142",20.7%,en,"The true story of Mamie Till Mobley’s relentless pursuit of justice for her 14 year old son, Emmett Till, who, in 1955, was lynched while visiting his cousins in Mississippi.",20.425,2022-10-14,7.537,214
158,Bergen,"$11,325,405",-,-,"$11,325,405",100%,tr,"Bergen, a valuable Turkish arabesque singer, fights to stay afloat despite all the difficulties in her life.",4.249,2022-03-04,6.033,30
159,Rise,"$11,196,824",-,-,"$11,196,824",100%,en,"After emigrating to Greece from Nigeria, Vera and Charles Antetokounmpo struggled to survive and provide for their five children, while living under the daily threat of deportation. Desperate to obtain Greek citizenship but undermined by a system that blocked them at every turn, the family's vision, determination and faith lifted them out of obscurity to launch the careers of three NBA champions.",23.391,2022-06-23,7.647,242
160,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%,en,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",25.908,2022-05-20,6.21,830
161,The Eight Mountains,"$11,150,407","$302,456",2.7%,"$10,847,951",97.3%,it,"An epic journey of friendship and self-discovery set in the breathtaking Italian Alps, The Eight Mountains follows over four decades the profound, complex relationship between Pietro and Bruno.",16.72,2022-12-21,7.693,539
162,Chickenhare and the Hamster of Darkness,"$10,885,116",-,-,"$10,885,116",100%,en,"Young Chickenhare is the adopted son of King Peter, a famous adventurer. Part chicken and part hare, he has a really tough time growing up and disguises himself as a hare to avoid the mockeries of his peers. When the day of the Royal Adventurer Society trials comes, Chickenhare, hampered by his disguise, fails miserably. But he is determined to grab a second chance and find the Scepter of the Hamster of Darkness, before his evil Uncle Lapin. The Scepter will give immense power to its holder. If Lapin gets hold of it, he will be unstoppable. Accompanied by his faithful servant Abe, a sarcastic turtle, and Meg, a martial arts expert skunk, he sets of on an epic and initiatory quest.",30.121,2022-02-16,7.4,237
163,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%,zh,"When a meteor carrying a destructive plant strikes the world, a suicide squad is given hours to save their post-apocalyptic city from total collapse.",41.286,2022-08-05,7.161,345
164,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%,-,-,-,-,-,-
165,Land of Legends,"$10,357,479",-,-,"$10,357,479",100%,ru,"The history of the confrontation between two worlds: the Grand Duchy of Moscow and the Ural Parma, the ancient Perm lands inhabited by pagans. Here heroes and ghosts, princes and shamans, Voguls and Muscovites will clash. At the center of the conflict of civilizations is the fate of the Russian prince Mikhail, who fell in love with the young Tiche, a witch-lamia capable of taking on the form of a lynx. Passion for the pagan and fidelity to forbidden love, a campaign against the Voguls, bloody battles and a short peace, the battle between Muscovy and Parma, the hero will face trials in which it is not so terrible to part with life as to commit treason.",5.144,2022-10-06,7.6,24
166,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%,ko,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",27.673,2022-01-26,6.6,154
167,Vaillante,"$10,143,170",-,-,"$10,143,170",100%,-,-,-,-,-,-
168,Table for Six,"$10,138,355",-,-,"$10,138,355",100%,cn,"To big brother Dai (Dayo Wong), nothing is more satisfying than dining with his two younger half-siblings (Louis Cheung Kai Chung and Peter Chan Charm Man). But when his old flame (Stephy Tang) shows up as his brother’s girlfriend, kitchen nightmare strikes and it’s up to his part-time girlfriend (Lim Min-chen) to simmer down the situation.",3.253,2022-09-07,6.8,28
169,The Beasts,"$10,040,651","$20,574",0.2%,"$10,020,077",99.8%,gl,"Antoine and Olga, a French couple, have been living in a small village in Galicia for a long time. They practice eco-responsible agriculture and restore abandoned houses to facilitate repopulation. Everything should be idyllic but for their opposition to a wind turbine project that creates a serious conflict with their neighbors. The tension will rise to the point of irreparability.",20.071,2022-07-20,7.506,540
170,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%,-,-,-,-,-,-
171,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%,te,"Venky and Varun Yadav are ordinary guys with ordinary lives. Their struggle is all about money. One day they hear about a wealthy industrialist in Vijayanagaram who is looking for his heir. What happens when Venky, Varun and the gang arrive at his doorsteps pretending to be his heir.",10.183,2022-05-27,3.611,9
172,"Good Luck to You, Leo Grande","$9,795,364",-,-,"$9,795,364",100%,en,"Nancy Stokes doesn’t know good sex. Whatever it may be, Nancy, a retired schoolteacher, is pretty sure she has never had it, but she is determined to finally do something about that. She even has a plan: It involves an anonymous hotel room, and a young sex worker who calls himself Leo Grande.",33.026,2022-06-16,7.0,380
173,Pearl,"$9,747,742","$9,423,445",96.7%,"$324,297",3.3%,en,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions collide.",67.063,2022-09-16,7.315,1139
174,Rheingold,"$9,691,858",-,-,"$9,691,858",100%,-,-,-,-,-,-
175,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%,-,-,-,-,-,-
176,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%,en,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,37.184,2022-01-21,7.846,308
177,Women Talking,"$9,274,194","$5,456,531",58.8%,"$3,817,663",41.2%,en,A group of women in an isolated religious colony struggle to reconcile their faith with a series of sexual assaults committed by the colony's men.,26.768,2022-12-23,6.914,443
178,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"$9,071,701",-,-,"$9,071,701",100%,ja,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",60.253,2022-10-22,7.601,138
179,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%,hi,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",13.274,2022-06-03,7.2,16
180,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%,ko,"Suddenly learning she is terminally ill, Se-yeon asks her husband, Jin-bong the absurd task of helping her find her first love, and he unwillingly joins her search. Along their journey, Se-yeon and Jin-bong are reminded of the most glittering, beautiful moments of their lives.",7.28,2022-09-28,7.045,11
181,Yolki 9,"$8,385,030",-,-,"$8,385,030",100%,ru,"A few hours before the holiday, everyone with bated breath hopes for a miracle. The whole village of Glukharevo is preparing to welcome a foreign movie star in a big way. In Tyumen, a housewife and a future blogger need to win a bet with her husband. In Yekaterinburg, a roleplayer in love is torn between family happiness and epic adventures. In St. Petersburg, the girl, along with the long-awaited marriage proposal, finds out that her fiancé was a fraudster. As always, the fates of the heroes will unexpectedly intertwine and everyone will get their own piece of New Year's magic...",3.247,2022-12-01,5.3,6
182,Aftersun,"$8,353,813","$1,658,790",19.9%,"$6,695,023",80.1%,en,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,66.431,2022-10-21,7.695,948
183,Don,"$8,287,406",-,-,"$8,287,406",100%,-,-,-,-,-,-
