Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%,zh,"Wei Chenggong, a working actor with big dreams, finally appears to get his big break when actress Milan invites him to play the lead role of ""Killer Karl"" in a new play. Little does Wei Chenggong know, he has fallen into a perilous conspiracy where all the villains are real, and only through his acting skills and good deal of luck will he be able to make it out alive.",5.565,2022-02-01,6.207,29
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%,zh,"20-year-old Jing Hao came to Shenzhen to live with his young sister alone. The siblings live a warm yet straitened life. In an effort to pay for his sister's expensive surgery, Jing Hao gets an opportunity by chance, thinking that a better life is coming, but unexpectedly encounters a serious setback. Under the pressure of both time and money, Jing Hao, who has no way out, decides to take a desperate gamble. Can this ignite the spark of hope for his troubled ordinary life?",7.489,2022-02-01,6.435,23
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%,en,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",60.527,2022-07-27,7.315,1367
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%,en,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",62.24,2022-03-24,6.584,3091
25,M3GAN,"$179,973,454","$95,043,350",52.8%,"$84,930,104",47.2%,en,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",110.479,2022-12-28,7.2,3399
26,Suzume,"$175,492,224","$10,932,037",6.2%,"$164,560,187",93.8%,ja,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",111.744,2022-11-11,7.992,822
27,One Piece Film: Red,"$171,319,579","$12,775,324",7.5%,"$158,544,255",92.5%,ja,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",122.956,2022-08-06,7.336,782
28,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%,en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",56.298,2022-07-20,6.889,3374
29,Ticket to Paradise,"$168,767,896","$68,275,985",40.5%,"$100,491,911",59.5%,en,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,26.682,2022-09-08,6.6,865
30,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%,en,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",70.112,2022-03-30,6.089,3772
31,RRR,"$165,955,146","$14,500,000",8.7%,"$151,455,146",91.3%,te,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,44.174,2022-03-24,7.808,1104
32,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%,en,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",52.094,2022-06-22,7.676,4290
33,The First Slam Dunk,"$152,408,567","$1,291,869",0.8%,"$151,116,698",99.2%,ja,"Shohoku's “speedster” and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.",46.345,2022-12-03,7.718,200
34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%,en,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",38.293,2022-07-14,7.553,1374
35,Everything Everywhere All at Once,"$139,400,280","$77,191,785",55.4%,"$62,208,495",44.6%,en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",112.622,2022-03-24,7.819,5416
